t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.436975,0.395029,0.007437,0.648772,230.83,4.35,376.35
0.441176,0.399821,0.007037,0.662766,233.63,4.11,384.47
0.445378,0.404614,0.006637,0.676475,236.43,3.88,392.42
0.449580,0.409409,0.006247,0.689899,239.23,3.65,400.21
0.453782,0.414263,0.006003,0.703039,242.06,3.51,407.83
0.457983,0.419118,0.005759,0.715895,244.90,3.36,415.29
0.462185,0.423972,0.005514,0.728466,247.74,3.22,422.58
0.466387,0.428827,0.005270,0.740753,250.57,3.08,429.71
0.470588,0.433681,0.005026,0.752755,253.41,2.94,436.67
0.474790,0.438538,0.004792,0.764473,256.25,2.80,443.47
0.478992,0.443444,0.004723,0.775906,259.12,2.76,450.10
0.483193,0.448350,0.004654,0.787055,261.98,2.72,456.57
0.487395,0.453256,0.004586,0.797920,264.85,2.68,462.87
0.491597,0.458162,0.004517,0.808500,267.72,2.64,469.01
0.495798,0.463068,0.004448,0.818796,270.58,2.60,474.98
0.500000,0.467974,0.004379,0.828807,273.45,2.56,480.79
0.504202,0.472879,0.004311,0.838534,276.32,2.52,486.43
0.508403,0.477785,0.004242,0.847976,279.18,2.48,491.91
0.512605,0.482691,0.004173,0.857134,282.05,2.44,497.22
0.516807,0.487597,0.004104,0.866008,284.91,2.40,502.37
0.521008,0.492503,0.004036,0.874597,287.78,2.36,507.35
0.525210,0.497404,0.003968,0.882901,290.65,2.32,512.17
0.529412,0.502440,0.003916,0.891159,293.59,2.29,516.96
0.533613,0.507324,0.003864,0.898886,296.44,2.26,521.44
0.537815,0.512207,0.003813,0.906329,299.30,2.23,525.76
0.542017,0.517091,0.003762,0.913487,302.15,2.20,529.91
0.546218,0.521975,0.003710,0.920361,305.00,2.17,533.90
0.550420,0.526859,0.003659,0.926951,307.86,2.14,537.72
0.554622,0.531787,0.003611,0.933307,310.74,2.11,541.41
0.558824,0.536671,0.003559,0.939325,313.59,2.08,544.90
0.563025,0.541554,0.003508,0.945059,316.44,2.05,548.23
0.567227,0.546438,0.003457,0.950508,319.30,2.02,551.39
0.571429,0.551322,0.003405,0.955673,322.15,1.99,554.38
0.575630,0.556206,0.003354,0.960553,325.00,1.96,557.21
0.579832,0.561090,0.003302,0.965149,327.86,1.93,559.88
0.584034,0.565973,0.003251,0.969461,330.71,1.90,562.38
0.588235,0.570857,0.003200,0.973488,333.57,1.87,564.72
0.592437,0.575731,0.003151,0.977230,336.41,1.84,566.89
0.596639,0.580502,0.003106,0.980689,339.20,1.81,568.89
0.600840,0.585273,0.003060,0.983862,341.99,1.79,570.74
0.605042,0.590044,0.003015,0.986751,344.78,1.76,572.41
0.609244,0.594816,0.002969,0.989356,347.57,1.73,573.92
0.613445,0.599587,0.002923,0.991677,350.35,1.71,575.27
0.617647,0.604358,0.002878,0.993713,353.14,1.68,576.45
0.621849,0.609129,0.002832,0.995464,355.93,1.66,577.47
0.626050,0.613900,0.002787,0.996931,358.72,1.63,578.32
0.630252,0.618672,0.002741,0.998114,361.50,1.60,579.00
0.634454,0.623431,0.002694,0.999012,364.29,1.57,579.52
0.638655,0.628067,0.002650,0.999626,366.99,1.55,579.88
0.642857,0.632702,0.002606,0.999955,369.70,1.52,580.07
0.647059,0.637338,0.002562,1.000000,372.41,1.50,580.10
0.651261,0.641974,0.002518,0.999760,375.12,1.47,579.96
0.655462,0.646609,0.002474,0.999236,377.83,1.45,579.65
0.659664,0.651245,0.002431,0.998428,380.54,1.42,579.19
0.663866,0.655881,0.002387,0.997335,383.25,1.39,578.55
0.668067,0.660505,0.002341,0.995958,385.95,1.37,577.75
0.672269,0.665003,0.002294,0.994296,388.58,1.34,576.79
0.676471,0.669502,0.002247,0.992350,391.21,1.31,575.66
0.680672,0.674000,0.002199,0.990119,393.83,1.29,574.37
0.684874,0.678499,0.002152,0.987604,396.46,1.26,572.91
0.689076,0.682997,0.002105,0.984805,399.09,1.23,571.28
0.693277,0.687481,0.002062,0.981721,401.71,1.21,569.49
0.697479,0.691829,0.002021,0.978352,404.25,1.18,567.54
0.701681,0.696177,0.001980,0.974699,406.79,1.16,565.42
0.705882,0.700525,0.001939,0.970762,409.33,1.13,563.14
0.710084,0.704873,0.001898,0.966540,411.87,1.11,560.69
0.714286,0.709221,0.001857,0.962034,414.41,1.09,558.07
0.718487,0.713562,0.001813,0.957244,416.95,1.06,555.29
0.722689,0.717839,0.001771,0.952169,419.45,1.03,552.35
0.726891,0.722116,0.001729,0.946809,421.95,1.01,549.24
0.731092,0.726393,0.001687,0.941165,424.45,0.99,545.97
0.735294,0.730670,0.001645,0.935237,426.95,0.96,542.53
0.739496,0.734947,0.001603,0.929024,429.45,0.94,538.92
0.743697,0.739224,0.001561,0.922527,431.95,0.91,535.16
0.747899,0.743501,0.001519,0.915745,434.45,0.89,531.22
0.752101,0.747777,0.001477,0.908679,436.94,0.86,527.12
0.756303,0.752054,0.001435,0.901328,439.44,0.84,522.86
0.760504,0.756331,0.001393,0.893693,441.94,0.81,518.43
0.764706,0.760608,0.001351,0.885774,444.44,0.79,513.84
0.768908,0.764885,0.001309,0.877570,446.94,0.77,509.08
0.773109,0.769162,0.001268,0.869082,449.44,0.74,504.15
0.777311,0.773439,0.001226,0.860309,451.94,0.72,499.06
0.781513,0.777716,0.001184,0.851252,454.44,0.69,493.81
0.785714,0.781993,0.001142,0.841910,456.94,0.67,488.39
0.789916,0.786270,0.001100,0.832284,459.44,0.64,482.81
0.794118,0.790547,0.001058,0.822374,461.94,0.62,477.06
0.798319,0.794824,0.001016,0.812179,464.43,0.59,471.14
0.802521,0.799100,0.000974,0.801699,466.93,0.57,465.06
0.806723,0.803377,0.000932,0.790935,469.43,0.54,458.82
0.810924,0.807654,0.000890,0.779887,471.93,0.52,452.41
0.815126,0.811931,0.000848,0.768554,474.43,0.50,445.84
0.819328,0.816208,0.000806,0.756937,476.93,0.47,439.10
0.823529,0.820485,0.000764,0.745036,479.43,0.45,432.19
0.827731,0.824762,0.000722,0.732850,481.93,0.42,425.12
0.831933,0.829039,0.000680,0.720379,484.43,0.40,417.89
0.836134,0.833316,0.000638,0.707624,486.93,0.37,410.49
0.840336,0.837593,0.000596,0.694585,489.43,0.35,402.93
0.844538,0.841870,0.000555,0.681261,491.92,0.32,395.20
0.848739,0.846146,0.000513,0.667653,494.42,0.30,387.30
0.852941,0.850423,0.000471,0.653760,496.92,0.27,379.24
0.857143,0.854700,0.000429,0.639583,499.42,0.25,371.02
0.861345,0.858977,0.000387,0.625121,501.92,0.23,362.63
0.865546,0.863254,0.000345,0.610375,504.42,0.20,354.08
0.869748,0.867531,0.000303,0.595345,506.92,0.18,345.36
0.873950,0.871808,0.000261,0.580030,509.42,0.15,336.47
0.878151,0.876085,0.000219,0.564431,511.92,0.13,327.42
0.882353,0.880362,0.000177,0.548547,514.42,0.10,318.21
0.886555,0.884637,0.000147,0.532379,516.91,0.09,308.83
0.890756,0.888918,0.000174,0.515857,519.42,0.10,299.25
0.894958,0.893177,0.000203,0.499119,521.91,0.12,289.54
0.899160,0.897437,0.000231,0.482096,524.39,0.14,279.66
0.903361,0.901696,0.000260,0.464789,526.88,0.15,269.62
0.907563,0.905956,0.000288,0.447197,529.37,0.17,259.42
0.911765,0.910215,0.000317,0.429321,531.86,0.19,249.05
0.915966,0.914475,0.000345,0.411161,534.35,0.20,238.51
0.920168,0.918734,0.000374,0.392716,536.84,0.22,227.81
0.924370,0.923015,0.000401,0.373907,539.34,0.23,216.90
0.928571,0.927275,0.000430,0.354892,541.83,0.25,205.87
0.932773,0.931534,0.000458,0.335593,544.32,0.27,194.68
0.936975,0.935794,0.000487,0.316009,546.81,0.28,183.32
0.941176,0.940053,0.000515,0.296140,549.30,0.30,171.79
0.945378,0.944313,0.000544,0.275988,551.78,0.32,160.10
0.949580,0.948572,0.000572,0.255551,554.27,0.33,148.24
0.953782,0.952834,0.000589,0.234829,556.76,0.34,136.22
0.957983,0.957116,0.000529,0.213823,559.27,0.31,124.04
0.962185,0.961399,0.000469,0.192532,561.77,0.27,111.69
0.966387,0.965681,0.000409,0.170957,564.27,0.24,99.17
0.970588,0.969964,0.000350,0.149098,566.77,0.20,86.49
0.974790,0.974246,0.000290,0.126954,569.28,0.17,73.65
0.978992,0.978529,0.000230,0.104526,571.78,0.13,60.64
0.983193,0.982811,0.000170,0.081813,574.28,0.10,47.46
0.987395,0.987094,0.000110,0.058816,576.78,0.06,34.12
0.991597,0.991376,0.000050,0.035535,579.29,0.03,20.61
0.995798,0.995659,-0.000010,0.011969,581.79,-0.01,6.94
1.000000,1.000000,0.000000,-0.009464,584.32,0.00,-5.49
